VariableName,Code,CodeCategory,CodeType,Description,CareSetting,MinimumGap,MaximumGap
Primary malignancy,153.5,DX,9,Malignant neoplasm of appendix vermiformis,NA,,
Primary malignancy,153.6,DX,9,Malignant neoplasm of ascending colon,NA,,
Primary malignancy,153.7,DX,9,Malignant neoplasm of splenic flexure,NA,,
Primary malignancy,153.8,DX,9,Malignant neoplasm of other specified sites of large intestine,NA,,
Primary malignancy,153.9,DX,9,"Malignant neoplasm of colon, unspecified site",NA,,
Primary malignancy,154.0,DX,9,Malignant neoplasm of rectosigmoid junction,NA,,
Primary malignancy,154.1,DX,9,Malignant neoplasm of rectum,NA,,
Primary malignancy,154.2,DX,9,Malignant neoplasm of anal canal,NA,,
Primary malignancy,154.3,DX,9,"Malignant neoplasm of anus, unspecified site",NA,,
Primary malignancy,154.8,DX,9,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",NA,,
Primary malignancy,155.0,DX,9,"Malignant neoplasm of liver, primary",NA,,
Primary malignancy,155.1,DX,9,Malignant neoplasm of intrahepatic bile ducts,NA,,
Primary malignancy,155.2,DX,9,"Malignant neoplasm of liver, not specified as primary or secondary",NA,,
Primary malignancy,156.0,DX,9,Malignant neoplasm of gallbladder,NA,,
Primary malignancy,156.1,DX,9,Malignant neoplasm of extrahepatic bile ducts,NA,,
Primary malignancy,156.2,DX,9,Malignant neoplasm of ampulla of vater,NA,,
Primary malignancy,156.8,DX,9,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts,NA,,
Primary malignancy,156.9,DX,9,"Malignant neoplasm of biliary tract, part unspecified site",NA,,
Primary malignancy,157.0,DX,9,Malignant neoplasm of head of pancreas,NA,,
Primary malignancy,157.1,DX,9,Malignant neoplasm of body of pancreas,NA,,
Primary malignancy,157.2,DX,9,Malignant neoplasm of tail of pancreas,NA,,
Primary malignancy,157.3,DX,9,Malignant neoplasm of pancreatic duct,NA,,
Primary malignancy,157.4,DX,9,Malignant neoplasm of islets of langerhans,NA,,
Primary malignancy,157.8,DX,9,Malignant neoplasm of other specified sites of pancreas,NA,,
Primary malignancy,157.9,DX,9,"Malignant neoplasm of pancreas, part unspecified",NA,,
Primary malignancy,158.0,DX,9,Malignant neoplasm of retroperitoneum,NA,,
Primary malignancy,158.8,DX,9,Malignant neoplasm of specified parts of peritoneum,NA,,
Primary malignancy,158.9,DX,9,"Malignant neoplasm of peritoneum, unspecified",NA,,
Primary malignancy,159.0,DX,9,"Malignant neoplasm of intestinal tract, part unspecified",NA,,
Primary malignancy,159.1,DX,9,"Malignant neoplasm of spleen, not elsewhere classified",NA,,
Primary malignancy,159.8,DX,9,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,NA,,
Primary malignancy,159.9,DX,9,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum,NA,,
Primary malignancy,160.0,DX,9,Malignant neoplasm of nasal cavities,NA,,
Primary malignancy,160.1,DX,9,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells",NA,,
Primary malignancy,160.2,DX,9,Malignant neoplasm of maxillary sinus,NA,,
Primary malignancy,160.3,DX,9,Malignant neoplasm of ethmoidal sinus,NA,,
Primary malignancy,160.4,DX,9,Malignant neoplasm of frontal sinus,NA,,
Primary malignancy,160.5,DX,9,Malignant neoplasm of sphenoidal sinus,NA,,
Primary malignancy,160.8,DX,9,Malignant neoplasm of other accessory sinuses,NA,,
Primary malignancy,160.9,DX,9,"Malignant neoplasm of accessory sinus, unspecified",NA,,
Primary malignancy,161.0,DX,9,Malignant neoplasm of glottis,NA,,
Primary malignancy,161.1,DX,9,Malignant neoplasm of supraglottis,NA,,
Primary malignancy,161.2,DX,9,Malignant neoplasm of subglottis,NA,,
Primary malignancy,161.3,DX,9,Malignant neoplasm of laryngeal cartilages,NA,,
Primary malignancy,161.8,DX,9,Malignant neoplasm of other specified sites of larynx,NA,,
Primary malignancy,161.9,DX,9,"Malignant neoplasm of larynx, unspecified",NA,,
Primary malignancy,162.0,DX,9,Malignant neoplasm of trachea,NA,,
Primary malignancy,162.2,DX,9,Malignant neoplasm of main bronchus,NA,,
Primary malignancy,162.3,DX,9,"Malignant neoplasm of upper lobe, bronchus or lung",NA,,
Primary malignancy,162.4,DX,9,"Malignant neoplasm of middle lobe, bronchus or lung",NA,,
Primary malignancy,162.5,DX,9,"Malignant neoplasm of lower lobe, bronchus or lung",NA,,
Primary malignancy,162.8,DX,9,Malignant neoplasm of other parts of bronchus or lung,NA,,
Primary malignancy,162.9,DX,9,"Malignant neoplasm of bronchus and lung, unspecified",NA,,
Primary malignancy,163.0,DX,9,Malignant neoplasm of parietal pleura,NA,,
Primary malignancy,163.1,DX,9,Malignant neoplasm of visceral pleura,NA,,
Primary malignancy,163.8,DX,9,Malignant neoplasm of other specified sites of pleura,NA,,
Primary malignancy,163.9,DX,9,"Malignant neoplasm of pleura, unspecified",NA,,
Primary malignancy,164.0,DX,9,Malignant neoplasm of thymus,NA,,
Primary malignancy,164.1,DX,9,Malignant neoplasm of heart,NA,,
Primary malignancy,164.2,DX,9,Malignant neoplasm of anterior mediastinum,NA,,
Primary malignancy,164.3,DX,9,Malignant neoplasm of posterior mediastinum,NA,,
Primary malignancy,164.8,DX,9,Malignant neoplasm of other parts of mediastinum,NA,,
Primary malignancy,164.9,DX,9,"Malignant neoplasm of mediastinum, part unspecified",NA,,
Primary malignancy,165.0,DX,9,"Malignant neoplasm of upper respiratory tract, part unspecified",NA,,
Primary malignancy,165.8,DX,9,Malignant neoplasm of other sites within the respiratory system and intrathoracic organs,NA,,
Primary malignancy,165.9,DX,9,Malignant neoplasm of ill-defined sites within the respiratory system,NA,,
Primary malignancy,170.0,DX,9,"Malignant neoplasm of bones of skull and face, except mandible",NA,,
Primary malignancy,170.1,DX,9,Malignant neoplasm of mandible,NA,,
Primary malignancy,170.2,DX,9,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",NA,,
Primary malignancy,170.3,DX,9,"Malignant neoplasm of ribs, sternum, and clavicle",NA,,
Primary malignancy,170.4,DX,9,Malignant neoplasm of scapula and long bones of upper limb,NA,,
Primary malignancy,170.5,DX,9,Malignant neoplasm of short bones of upper limb,NA,,
Primary malignancy,170.6,DX,9,"Malignant neoplasm of pelvic bones, sacrum, and coccyx",NA,,
Primary malignancy,170.7,DX,9,Malignant neoplasm of long bones of lower limb,NA,,
Primary malignancy,170.8,DX,9,Malignant neoplasm of short bones of lower limb,NA,,
Primary malignancy,170.9,DX,9,"Malignant neoplasm of bone and articular cartilage, site unspecified",NA,,
Primary malignancy,171.0,DX,9,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",NA,,
Primary malignancy,171.2,DX,9,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",NA,,
Primary malignancy,171.3,DX,9,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",NA,,
Primary malignancy,171.4,DX,9,Malignant neoplasm of connective and other soft tissue of thorax,NA,,
Primary malignancy,171.5,DX,9,Malignant neoplasm of connective and other soft tissue of abdomen,NA,,
Primary malignancy,171.6,DX,9,Malignant neoplasm of connective and other soft tissue of pelvis,NA,,
Primary malignancy,171.7,DX,9,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified",NA,,
Primary malignancy,171.8,DX,9,Malignant neoplasm of other specified sites of connective and other soft tissue,NA,,
Primary malignancy,171.9,DX,9,"Malignant neoplasm of connective and other soft tissue, site unspecified",NA,,
Primary malignancy,172.0,DX,9,Malignant melanoma of skin of lip,NA,,
Primary malignancy,172.1,DX,9,"Malignant melanoma of skin of eyelid, including canthus",NA,,
Primary malignancy,172.2,DX,9,Malignant melanoma of skin of ear and external auditory canal,NA,,
Primary malignancy,172.3,DX,9,Malignant melanoma of skin of other and unspecified parts of face,NA,,
Primary malignancy,172.4,DX,9,Malignant melanoma of skin of scalp and neck,NA,,
Primary malignancy,172.5,DX,9,"Malignant melanoma of skin of trunk, except scrotum",NA,,
Primary malignancy,172.6,DX,9,"Malignant melanoma of skin of upper limb, including shoulder",NA,,
Primary malignancy,172.7,DX,9,"Malignant melanoma of skin of lower limb, including hip",NA,,
Primary malignancy,172.8,DX,9,Malignant melanoma of other specified sites of skin,NA,,
Primary malignancy,172.9,DX,9,"Melanoma of skin, site unspecified",NA,,
Primary malignancy,174.0,DX,9,Malignant neoplasm of nipple and areola of female breast,NA,,
Primary malignancy,174.1,DX,9,Malignant neoplasm of central portion of female breast,NA,,
Primary malignancy,174.2,DX,9,Malignant neoplasm of upper-inner quadrant of female breast,NA,,
Primary malignancy,174.3,DX,9,Malignant neoplasm of lower-inner quadrant of female breast,NA,,
Primary malignancy,174.4,DX,9,Malignant neoplasm of upper-outer quadrant of female breast,NA,,
Primary malignancy,174.5,DX,9,Malignant neoplasm of lower-outer quadrant of female breast,NA,,
Primary malignancy,174.6,DX,9,Malignant neoplasm of axillary tail of female breast,NA,,
Primary malignancy,174.8,DX,9,Malignant neoplasm of other specified sites of female breast,NA,,
Primary malignancy,174.9,DX,9,"Malignant neoplasm of breast (female), unspecified",NA,,
Primary malignancy,175.0,DX,9,Malignant neoplasm of nipple and areola of male breast,NA,,
Primary malignancy,175.9,DX,9,Malignant neoplasm of other and unspecified sites of male breast,NA,,
Primary malignancy,176.1,DX,9,"Kaposi's sarcoma, soft tissue",NA,,
Primary malignancy,176.2,DX,9,"Kaposi's sarcoma, palate",NA,,
Primary malignancy,176.3,DX,9,"Kaposi's sarcoma, gastrointestinal sites",NA,,
Primary malignancy,176.4,DX,9,"Kaposi's sarcoma, lung",NA,,
Primary malignancy,176.5,DX,9,"Kaposi's sarcoma, lymph nodes",NA,,
Primary malignancy,176.8,DX,9,"Kaposi's sarcoma, other specified sites",NA,,
Primary malignancy,176.9,DX,9,"Kaposi's sarcoma, unspecified site",NA,,
Primary malignancy,179,DX,9,"Malignant neoplasm of uterus, part unspecified",NA,,
Primary malignancy,180.0,DX,9,Malignant neoplasm of endocervix,NA,,
Primary malignancy,180.1,DX,9,Malignant neoplasm of exocervix,NA,,
Primary malignancy,180.8,DX,9,Malignant neoplasm of other specified sites of cervix,NA,,
Primary malignancy,180.9,DX,9,"Malignant neoplasm of cervix uteri, unspecified site",NA,,
Primary malignancy,181,DX,9,Malignant neoplasm of placenta,NA,,
Primary malignancy,182.0,DX,9,"Malignant neoplasm of corpus uteri, except isthmus",NA,,
Primary malignancy,182.1,DX,9,Malignant neoplasm of isthmus,NA,,
Primary malignancy,182.8,DX,9,Malignant neoplasm of other specified sites of body of uterus,NA,,
Primary malignancy,183.0,DX,9,Malignant neoplasm of ovary,NA,,
Primary malignancy,183.2,DX,9,Malignant neoplasm of fallopian tube,NA,,
Primary malignancy,183.3,DX,9,Malignant neoplasm of broad ligament of uterus,NA,,
Primary malignancy,183.4,DX,9,Malignant neoplasm of parametrium,NA,,
Primary malignancy,183.5,DX,9,Malignant neoplasm of round ligament of uterus,NA,,
Primary malignancy,183.8,DX,9,Malignant neoplasm of other specified sites of uterine adnexa,NA,,
Primary malignancy,183.9,DX,9,"Malignant neoplasm of uterine adnexa, unspecified site",NA,,
Primary malignancy,184.0,DX,9,Malignant neoplasm of vagina,NA,,
Primary malignancy,184.1,DX,9,Malignant neoplasm of labia majora,NA,,
Primary malignancy,184.2,DX,9,Malignant neoplasm of labia minora,NA,,
Primary malignancy,184.3,DX,9,Malignant neoplasm of clitoris,NA,,
Primary malignancy,184.4,DX,9,"Malignant neoplasm of vulva, unspecified site",NA,,
Primary malignancy,184.8,DX,9,Malignant neoplasm of other specified sites of female genital organs,NA,,
Primary malignancy,184.9,DX,9,"Malignant neoplasm of female genital organ, site unspecified",NA,,
Primary malignancy,185,DX,9,Malignant neoplasm of prostate,NA,,
Primary malignancy,186.0,DX,9,Malignant neoplasm of undescended testis,NA,,
Primary malignancy,186.9,DX,9,Malignant neoplasm of other and unspecified testis,NA,,
Primary malignancy,187.1,DX,9,Malignant neoplasm of prepuce,NA,,
Primary malignancy,187.2,DX,9,Malignant neoplasm of glans penis,NA,,
Primary malignancy,187.3,DX,9,Malignant neoplasm of body of penis,NA,,
Primary malignancy,187.4,DX,9,"Malignant neoplasm of penis, part unspecified",NA,,
Primary malignancy,187.5,DX,9,Malignant neoplasm of epididymis,NA,,
Primary malignancy,187.6,DX,9,Malignant neoplasm of spermatic cord,NA,,
Primary malignancy,187.7,DX,9,Malignant neoplasm of scrotum,NA,,
Primary malignancy,187.8,DX,9,Malignant neoplasm of other specified sites of male genital organs,NA,,
Primary malignancy,187.9,DX,9,"Malignant neoplasm of male genital organ, site unspecified",NA,,
Primary malignancy,188.0,DX,9,Malignant neoplasm of trigone of urinary bladder,NA,,
Primary malignancy,188.1,DX,9,Malignant neoplasm of dome of urinary bladder,NA,,
Primary malignancy,188.2,DX,9,Malignant neoplasm of lateral wall of urinary bladder,NA,,
Primary malignancy,188.3,DX,9,Malignant neoplasm of anterior wall of urinary bladder,NA,,
Primary malignancy,188.4,DX,9,Malignant neoplasm of posterior wall of urinary bladder,NA,,
Primary malignancy,188.5,DX,9,Malignant neoplasm of bladder neck,NA,,
Primary malignancy,188.6,DX,9,Malignant neoplasm of ureteric orifice,NA,,
Primary malignancy,188.7,DX,9,Malignant neoplasm of urachus,NA,,
Primary malignancy,188.8,DX,9,Malignant neoplasm of other specified sites of bladder,NA,,
Primary malignancy,188.9,DX,9,"Malignant neoplasm of bladder, part unspecified",NA,,
Primary malignancy,189.0,DX,9,"Malignant neoplasm of kidney, except pelvis",NA,,
Primary malignancy,189.1,DX,9,Malignant neoplasm of renal pelvis,NA,,
Primary malignancy,189.2,DX,9,Malignant neoplasm of ureter,NA,,
Primary malignancy,189.3,DX,9,Malignant neoplasm of urethra,NA,,
Primary malignancy,189.4,DX,9,Malignant neoplasm of paraurethral glands,NA,,
Primary malignancy,189.8,DX,9,Malignant neoplasm of other specified sites of urinary organs,NA,,
Primary malignancy,189.9,DX,9,"Malignant neoplasm of urinary organ, site unspecified",NA,,
Primary malignancy,190.0,DX,9,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",NA,,
Primary malignancy,190.1,DX,9,Malignant neoplasm of orbit,NA,,
Primary malignancy,190.2,DX,9,Malignant neoplasm of lacrimal gland,NA,,
Primary malignancy,190.3,DX,9,Malignant neoplasm of conjunctiva,NA,,
Primary malignancy,190.4,DX,9,Malignant neoplasm of cornea,NA,,
Primary malignancy,190.5,DX,9,Malignant neoplasm of retina,NA,,
Primary malignancy,190.6,DX,9,Malignant neoplasm of choroid,NA,,
Primary malignancy,190.7,DX,9,Malignant neoplasm of lacrimal duct,NA,,
Primary malignancy,190.8,DX,9,Malignant neoplasm of other specified sites of eye,NA,,
Primary malignancy,190.9,DX,9,"Malignant neoplasm of eye, part unspecified",NA,,
Primary malignancy,191.0,DX,9,"Malignant neoplasm of cerebrum, except lobes and ventricles",NA,,
Primary malignancy,191.1,DX,9,Malignant neoplasm of frontal lobe,NA,,
Primary malignancy,191.2,DX,9,Malignant neoplasm of temporal lobe,NA,,
Primary malignancy,191.3,DX,9,Malignant neoplasm of parietal lobe,NA,,
Primary malignancy,191.4,DX,9,Malignant neoplasm of occipital lobe,NA,,
Primary malignancy,191.5,DX,9,Malignant neoplasm of ventricles,NA,,
Primary malignancy,191.6,DX,9,Malignant neoplasm of cerebellum nos,NA,,
Primary malignancy,191.7,DX,9,Malignant neoplasm of brain stem,NA,,
Primary malignancy,191.8,DX,9,Malignant neoplasm of other parts of brain,NA,,
Primary malignancy,191.9,DX,9,"Malignant neoplasm of brain, unspecified",NA,,
Primary malignancy,192.0,DX,9,Malignant neoplasm of cranial nerves,NA,,
Primary malignancy,192.1,DX,9,Malignant neoplasm of cerebral meninges,NA,,
Primary malignancy,192.2,DX,9,Malignant neoplasm of spinal cord,NA,,
Primary malignancy,192.3,DX,9,Malignant neoplasm of spinal meninges,NA,,
Primary malignancy,192.8,DX,9,Malignant neoplasm of other specified sites of nervous system,NA,,
Primary malignancy,192.9,DX,9,"Malignant neoplasm of nervous system, part unspecified",NA,,
Primary malignancy,193,DX,9,Malignant neoplasm of thyroid gland,NA,,
Primary malignancy,194.0,DX,9,Malignant neoplasm of adrenal gland,NA,,
Primary malignancy,194.1,DX,9,Malignant neoplasm of parathyroid gland,NA,,
Primary malignancy,194.3,DX,9,Malignant neoplasm of pituitary gland and craniopharyngeal duct,NA,,
Primary malignancy,194.4,DX,9,Malignant neoplasm of pineal gland,NA,,
Primary malignancy,194.5,DX,9,Malignant neoplasm of carotid body,NA,,
Primary malignancy,194.6,DX,9,Malignant neoplasm of aortic body and other paraganglia,NA,,
Primary malignancy,194.8,DX,9,Malignant neoplasm of other endocrine glands and related structures,NA,,
Primary malignancy,194.9,DX,9,"Malignant neoplasm of endocrine gland, site unspecified",NA,,
Primary malignancy,195.0,DX,9,"Malignant neoplasm of head, face, and neck",NA,,
Primary malignancy,195.1,DX,9,Malignant neoplasm of thorax,NA,,
Primary malignancy,195.2,DX,9,Malignant neoplasm of abdomen,NA,,
Primary malignancy,195.3,DX,9,Malignant neoplasm of pelvis,NA,,
Primary malignancy,195.4,DX,9,Malignant neoplasm of upper limb,NA,,
Primary malignancy,195.5,DX,9,Malignant neoplasm of lower limb,NA,,
Primary malignancy,195.8,DX,9,Malignant neoplasm of other specified sites,NA,,
Metastasis,196.0,DX,9,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",NA,,
Metastasis,196.1,DX,9,"Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes",NA,,
Metastasis,196.2,DX,9,"Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes",NA,,
Metastasis,196.3,DX,9,"Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb",NA,,
